language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,54.55±0.00,50.00±0.00,20.45±0.00
Afro-Asiatic,0.2,2.27±0.00,53.41±0.00,47.73±0.00,21.59±0.00
Afro-Asiatic,0.4,3.41±0.00,55.68±0.00,47.73±0.00,19.32±0.00
Afro-Asiatic,0.6,2.27±0.00,54.55±0.00,47.73±0.00,20.45±0.00
Afro-Asiatic,0.8,6.82±0.00,54.55±0.00,47.73±0.00,5.68±0.00
Afro-Asiatic,1.0,6.82±0.00,54.55±0.00,47.73±0.00,10.23±0.00
Austro-Asiatic,0.0,0.00±0.00,54.55±0.00,50.00±0.00,29.55±0.00
Austro-Asiatic,0.2,2.27±0.00,54.55±0.00,44.32±0.00,30.68±0.00
Austro-Asiatic,0.4,1.14±0.00,54.55±0.00,47.73±0.00,26.14±0.00
Austro-Asiatic,0.6,5.68±0.00,55.68±0.00,48.86±0.00,19.32±0.00
Austro-Asiatic,0.8,3.41±0.00,56.82±0.00,48.86±0.00,5.68±0.00
Austro-Asiatic,1.0,3.41±0.00,51.14±0.00,48.86±0.00,13.64±0.00
Austronesian,0.0,3.01±0.92,50.34±0.40,43.04±2.41,23.83±5.08
Austronesian,0.2,2.65±2.02,49.13±1.44,42.20±3.35,22.92±5.77
Austronesian,0.4,2.88±1.75,50.55±1.25,43.51±2.98,23.73±3.84
Austronesian,0.6,2.51±1.94,48.68±1.53,42.69±3.76,19.99±6.00
Austronesian,0.8,3.67±1.83,49.57±1.84,42.69±3.76,12.87±6.98
Austronesian,1.0,3.22±1.92,49.80±2.19,40.77±2.71,7.71±1.54
Indo-European (Germanic),0.0,2.82±2.98,50.10±1.65,44.84±4.22,21.40±2.13
Indo-European (Germanic),0.2,2.56±2.52,50.38±2.14,45.11±4.03,22.90±3.83
Indo-European (Germanic),0.4,5.30±1.74,50.94±2.50,43.73±4.16,23.08±3.02
Indo-European (Germanic),0.6,4.81±2.67,50.13±0.71,44.92±3.99,20.72±6.08
Indo-European (Germanic),0.8,4.60±1.32,48.50±1.01,41.85±5.89,8.57±5.04
Indo-European (Germanic),1.0,3.09±2.36,51.80±1.75,39.36±4.25,10.80±5.35
Indo-European (Greek),0.0,1.10±0.00,54.95±0.00,40.66±0.00,20.88±0.00
Indo-European (Greek),0.2,0.00±0.00,51.65±0.00,43.96±0.00,24.18±0.00
Indo-European (Greek),0.4,2.20±0.00,53.85±0.00,39.56±0.00,18.68±0.00
Indo-European (Greek),0.6,2.20±0.00,53.85±0.00,40.66±0.00,16.48±0.00
Indo-European (Greek),0.8,1.10±0.00,50.55±0.00,39.56±0.00,1.10±0.00
Indo-European (Greek),1.0,1.10±0.00,50.55±0.00,41.76±0.00,7.69±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,2.78±1.45,50.19±3.25,43.03±1.92,24.74±4.16
Indo-European (Romance),0.2,2.76±1.87,50.19±3.25,41.09±2.61,23.40±2.23
Indo-European (Romance),0.4,3.39±1.09,50.25±1.68,42.16±1.63,24.83±2.31
Indo-European (Romance),0.6,5.92±2.48,50.81±1.34,41.09±2.61,17.32±1.60
Indo-European (Romance),0.8,3.86±2.43,50.18±2.89,40.72±1.53,10.13±1.99
Indo-European (Romance),1.0,3.29±2.02,50.83±2.19,38.21±1.91,10.96±1.89
Sino-Tibetan,0.0,1.11±0.00,45.56±0.00,45.56±0.00,25.56±0.00
Sino-Tibetan,0.2,1.11±0.00,45.56±0.00,46.67±0.00,26.67±0.00
Sino-Tibetan,0.4,5.56±0.00,45.56±0.00,44.44±0.00,26.67±0.00
Sino-Tibetan,0.6,2.22±0.00,48.89±0.00,44.44±0.00,21.11±0.00
Sino-Tibetan,0.8,7.78±0.00,46.67±0.00,43.33±0.00,6.67±0.00
Sino-Tibetan,1.0,1.11±0.00,50.00±0.00,44.44±0.00,11.11±0.00
Slavic,0.0,1.10±1.55,51.12±0.75,37.58±3.42,24.99±0.40
Slavic,0.2,1.69±0.72,51.71±0.08,37.62±5.03,26.72±0.48
