language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,53.96±4.76,47.16±2.35,45.61±21.44,19.79±11.43
Austro-Asiatic,54.95±3.78,49.23±2.29,41.43±20.62,22.09±12.29
Austronesian,54.22±3.36,49.48±2.73,42.02±19.68,21.58±12.06
Indo-European (Germanic),54.09±4.13,48.79±3.22,41.18±19.68,22.65±12.07
Indo-European (Greek),51.84±4.98,46.55±2.40,43.02±21.40,21.68±12.15
Indo-European (Iranian),54.11±2.98,46.24±3.12,43.15±21.50,19.52±12.11
Indo-European (Romance),54.08±4.16,49.25±2.21,43.71±20.33,22.98±11.91
Sino-Tibetan,54.39±3.44,47.36±2.94,40.71±20.96,19.79±12.40
Slavic,54.45±3.23,46.28±3.00,42.64±20.34,22.87±11.90
Turkic,54.10±6.49,46.51±1.97,43.63±21.90,23.45±13.16
Uralic,53.75±4.51,47.19±3.35,41.96±19.87,22.85±11.90
