language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,24.00±5.53,40.17±3.04,14.67±9.65,5.33±7.13
Austro-Asiatic,28.50±6.19,43.17±2.23,11.50±9.52,6.33±10.29
Austronesian,23.83±5.87,42.61±3.63,11.11±8.08,6.83±9.46
Indo-European (Germanic),25.79±5.40,41.42±2.76,10.75±8.23,5.75±7.33
Indo-European (Greek),24.17±3.97,39.00±2.53,11.00±7.64,5.17±7.73
Indo-European (Iranian),23.33±5.39,37.50±1.52,12.00±7.92,6.67±7.89
Indo-European (Romance),26.00±5.15,42.38±3.23,12.33±9.34,6.00±7.96
Sino-Tibetan,24.00±5.93,41.33±1.97,9.50±6.47,6.33±9.00
Slavic,24.75±6.36,37.58±2.31,12.33±9.27,4.92±6.23
Turkic,22.17±4.36,41.17±2.64,11.33±8.36,5.17±7.22
Uralic,22.50±5.66,40.44±2.89,10.17±7.54,7.00±9.24
