language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,20.16±7.25,39.54±2.62,39.11±2.73,3.99±2.38
Austro-Asiatic,20.34±7.76,40.04±2.31,41.07±1.62,3.45±1.90
Austronesian,19.77±7.13,39.38±2.42,40.22±1.63,2.78±1.79
Indo-European (Germanic),21.40±7.61,41.00±4.16,40.39±3.80,2.51±1.76
Indo-European (Greek),19.93±7.90,38.60±1.83,38.34±1.71,3.64±1.94
Indo-European (Iranian),19.83±8.33,39.03±1.81,40.00±2.17,4.75±2.63
Indo-European (Romance),21.30±6.98,40.04±2.02,39.91±2.64,2.92±2.15
Sino-Tibetan,18.78±7.83,39.68±2.29,41.08±1.86,2.57±1.54
Slavic,19.44±7.85,38.28±2.20,39.36±2.43,3.16±2.05
Turkic,18.83±7.16,39.13±2.17,37.50±2.34,3.32±2.19
Uralic,19.43±6.68,39.72±1.94,37.53±2.62,3.30±1.94
