language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,8.27±2.58,20.77±3.98,9.34±7.14,0.00±0.00
Austro-Asiatic,9.81±2.57,22.18±4.29,7.93±7.76,0.00±0.00
Austronesian,8.33±2.49,20.12±3.77,8.56±6.74,0.00±0.00
Indo-European (Germanic),7.08±2.84,19.45±3.95,7.61±5.79,0.00±0.00
Indo-European (Greek),8.20±2.67,17.47±3.48,6.99±5.72,0.00±0.00
Indo-European (Iranian),7.66±1.75,20.70±2.53,6.45±6.33,0.00±0.00
Indo-European (Romance),8.57±2.55,18.99±3.76,9.14±7.08,0.00±0.00
Sino-Tibetan,7.12±3.28,19.09±3.41,8.06±6.61,0.00±0.00
Slavic,8.13±2.37,17.27±4.16,8.94±7.69,0.00±0.00
Turkic,10.08±2.21,19.22±4.06,7.39±7.17,0.00±0.00
Uralic,8.06±1.68,19.00±3.49,7.30±5.87,0.00±0.00
