language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,32.95±0.00,23.98±0.00,3.52±0.00
Afro-Asiatic,0.2,0.00±0.00,33.10±0.00,23.75±0.00,2.84±0.00
Afro-Asiatic,0.4,0.11±0.00,33.10±0.00,24.32±0.00,2.84±0.00
Afro-Asiatic,0.6,0.00±0.00,33.81±0.00,26.02±0.00,2.05±0.00
Afro-Asiatic,0.8,0.23±0.00,33.66±0.00,25.57±0.00,0.57±0.00
Afro-Asiatic,1.0,0.00±0.00,33.66±0.00,24.20±0.00,0.80±0.00
Austro-Asiatic,0.0,0.00±0.00,35.65±0.00,25.91±0.00,7.73±0.00
Austro-Asiatic,0.2,0.00±0.00,35.65±0.00,27.27±0.00,5.91±0.00
Austro-Asiatic,0.4,0.23±0.00,35.09±0.00,25.80±0.00,5.34±0.00
Austro-Asiatic,0.6,0.34±0.00,35.94±0.00,25.34±0.00,4.09±0.00
Austro-Asiatic,0.8,0.34±0.00,35.65±0.00,25.11±0.00,1.82±0.00
Austro-Asiatic,1.0,0.23±0.00,35.37±0.00,25.45±0.00,0.80±0.00
Austronesian,0.0,0.27±0.54,34.68±3.13,27.90±4.47,5.04±2.52
Austronesian,0.2,0.06±0.07,34.59±3.17,26.80±3.47,5.26±2.64
Austronesian,0.4,0.20±0.16,34.49±3.29,25.73±3.93,4.29±1.98
Austronesian,0.6,0.21±0.19,34.00±4.10,25.77±3.41,2.78±1.43
Austronesian,0.8,0.23±0.15,34.30±3.88,25.11±3.26,1.02±0.30
Austronesian,1.0,0.18±0.12,34.50±3.94,24.96±3.88,0.54±0.29
Indo-European (Germanic),0.0,1.06±1.22,38.43±6.52,31.83±9.85,8.18±2.73
Indo-European (Germanic),0.2,0.64±0.55,38.12±5.86,31.89±8.64,7.62±3.00
Indo-European (Germanic),0.4,0.95±0.45,38.39±5.95,31.13±8.99,6.61±2.50
Indo-European (Germanic),0.6,0.72±0.52,38.02±5.27,30.92±8.91,4.73±1.39
Indo-European (Germanic),0.8,0.43±0.25,38.23±5.87,30.48±9.19,1.33±0.38
Indo-European (Germanic),1.0,0.19±0.13,38.41±4.91,29.93±8.43,0.86±0.27
Indo-European (Greek),0.0,0.00±0.00,40.66±0.00,26.26±0.00,5.05±0.00
Indo-European (Greek),0.2,0.00±0.00,40.38±0.00,25.16±0.00,6.04±0.00
Indo-European (Greek),0.4,0.00±0.00,40.38±0.00,25.38±0.00,4.62±0.00
Indo-European (Greek),0.6,0.00±0.00,40.11±0.00,26.37±0.00,2.53±0.00
Indo-European (Greek),0.8,0.33±0.00,39.56±0.00,27.36±0.00,0.77±0.00
Indo-European (Greek),1.0,0.11±0.00,39.42±0.00,28.13±0.00,0.88±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
