Model,Language,Temp,Unique CWE,Vulnerable Prompts
multi-dataset_Qwen,Acehnese,0.0,8,13
multi-dataset_Qwen,Hebrew,0.0,4,8
multi-dataset_Qwen,Vietnamese,0.0,7,8
multi-dataset_Qwen,Indonesian,0.0,7,12
multi-dataset_Qwen,Malayalam,0.0,4,4
multi-dataset_Qwen,Tagalog,0.0,8,12
multi-dataset_Qwen,Dutch,0.0,10,16
multi-dataset_Qwen,German,0.0,7,13
multi-dataset_Qwen,Afrikaans,0.0,5,6
multi-dataset_Qwen,Portuguese,0.0,6,8
multi-dataset_Qwen,Spanish,0.0,8,11
multi-dataset_Qwen,French,0.0,5,5
multi-dataset_Qwen,Italian,0.0,10,11
multi-dataset_Qwen,Greek,0.0,6,7
multi-dataset_Qwen,Western Persian,0.0,12,14
multi-dataset_Qwen,Russian,0.0,7,11
multi-dataset_Qwen,Bulgarian,0.0,11,18
multi-dataset_Qwen,Chinese,0.0,9,12
multi-dataset_Qwen,Turkish,0.0,6,8
multi-dataset_Qwen,Estonian,0.0,6,10
multi-dataset_Qwen,Finnish,0.0,9,13
multi-dataset_Qwen,Hungarian,0.0,6,9
multi-dataset_Qwen,English,0.0,9,17
multi-dataset_gemini-2.5-flash,Acehnese,0.8,18,33
multi-dataset_gemini-2.5-flash,Hebrew,0.8,21,40
multi-dataset_gemini-2.5-flash,Vietnamese,0.8,20,41
multi-dataset_gemini-2.5-flash,Indonesian,0.8,20,45
multi-dataset_gemini-2.5-flash,Malayalam,0.8,19,33
multi-dataset_gemini-2.5-flash,Tagalog,0.8,20,43
multi-dataset_gemini-2.5-flash,Dutch,0.8,21,42
multi-dataset_gemini-2.5-flash,German,0.8,21,45
multi-dataset_gemini-2.5-flash,Afrikaans,0.8,20,40
multi-dataset_gemini-2.5-flash,Portuguese,0.8,20,36
multi-dataset_gemini-2.5-flash,Spanish,0.8,20,43
multi-dataset_gemini-2.5-flash,French,0.8,20,42
multi-dataset_gemini-2.5-flash,Italian,0.8,19,42
multi-dataset_gemini-2.5-flash,Greek,0.8,21,43
multi-dataset_gemini-2.5-flash,Western Persian,0.8,21,44
multi-dataset_gemini-2.5-flash,Russian,0.8,22,41
multi-dataset_gemini-2.5-flash,Bulgarian,0.8,20,39
multi-dataset_gemini-2.5-flash,Chinese,0.8,20,39
multi-dataset_gemini-2.5-flash,Turkish,0.8,21,46
multi-dataset_gemini-2.5-flash,Estonian,0.8,20,37
multi-dataset_gemini-2.5-flash,Finnish,0.8,21,39
multi-dataset_gemini-2.5-flash,Hungarian,0.8,21,44
multi-dataset_gemini-2.5-flash,English,0.8,21,48
multi-dataset_gpt-4o-mini,Acehnese,0.8,19,33
multi-dataset_gpt-4o-mini,Hebrew,0.8,23,47
multi-dataset_gpt-4o-mini,Vietnamese,0.8,22,46
multi-dataset_gpt-4o-mini,Indonesian,0.8,22,48
multi-dataset_gpt-4o-mini,Malayalam,0.8,21,35
multi-dataset_gpt-4o-mini,Tagalog,0.8,22,45
multi-dataset_gpt-4o-mini,Dutch,0.8,22,44
multi-dataset_gpt-4o-mini,German,0.8,22,45
multi-dataset_gpt-4o-mini,Afrikaans,0.8,22,41
multi-dataset_gpt-4o-mini,Portuguese,0.8,22,41
multi-dataset_gpt-4o-mini,Spanish,0.8,22,45
multi-dataset_gpt-4o-mini,French,0.8,22,44
multi-dataset_gpt-4o-mini,Italian,0.8,22,50
multi-dataset_gpt-4o-mini,Greek,0.8,22,44
multi-dataset_gpt-4o-mini,Western Persian,0.8,22,46
multi-dataset_gpt-4o-mini,Russian,0.8,22,45
multi-dataset_gpt-4o-mini,Bulgarian,0.8,22,43
multi-dataset_gpt-4o-mini,Chinese,0.8,22,43
multi-dataset_gpt-4o-mini,Turkish,0.8,22,47
multi-dataset_gpt-4o-mini,Estonian,0.8,22,39
multi-dataset_gpt-4o-mini,Finnish,0.8,22,43
multi-dataset_gpt-4o-mini,Hungarian,0.8,22,49
multi-dataset_gpt-4o-mini,English,0.8,22,51
multi-dataset_Qwen,Acehnese,0.2,12,23
multi-dataset_Qwen,Hebrew,0.2,13,20
multi-dataset_Qwen,Vietnamese,0.2,14,21
multi-dataset_Qwen,Indonesian,0.2,13,25
multi-dataset_Qwen,Malayalam,0.2,8,10
multi-dataset_Qwen,Tagalog,0.2,11,21
multi-dataset_Qwen,Dutch,0.2,16,32
multi-dataset_Qwen,German,0.2,14,29
multi-dataset_Qwen,Afrikaans,0.2,14,20
multi-dataset_Qwen,Portuguese,0.2,18,28
multi-dataset_Qwen,Spanish,0.2,14,32
multi-dataset_Qwen,French,0.2,12,22
multi-dataset_Qwen,Italian,0.2,17,39
multi-dataset_Qwen,Greek,0.2,13,23
multi-dataset_Qwen,Western Persian,0.2,16,28
multi-dataset_Qwen,Russian,0.2,16,29
multi-dataset_Qwen,Bulgarian,0.2,15,29
multi-dataset_Qwen,Chinese,0.2,16,31
multi-dataset_Qwen,Turkish,0.2,10,24
multi-dataset_Qwen,Estonian,0.2,13,25
multi-dataset_Qwen,Finnish,0.2,16,29
multi-dataset_Qwen,Hungarian,0.2,15,33
multi-dataset_Qwen,English,0.2,16,39
multi-dataset_Qwen,Acehnese,0.6,16,32
multi-dataset_Qwen,Hebrew,0.6,20,34
multi-dataset_Qwen,Vietnamese,0.6,19,36
