language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,27.81±10.41,32.56±3.20,40.25±3.37,3.66±2.52
Austro-Asiatic,27.80±10.38,34.33±2.66,41.27±4.33,3.12±3.05
Austronesian,28.15±10.38,33.00±2.78,41.26±3.35,2.92±2.25
Indo-European (Germanic),26.93±9.80,32.30±3.43,40.74±3.68,2.99±2.33
Indo-European (Greek),28.92±11.24,33.23±3.16,39.61±3.02,3.54±2.60
Indo-European (Iranian),28.81±11.17,33.15±2.21,39.47±3.42,4.53±2.66
Indo-European (Romance),27.51±10.26,32.95±2.98,39.22±9.21,4.03±2.62
Sino-Tibetan,25.34±11.75,33.26±2.60,41.85±3.41,2.49±2.42
Slavic,27.49±9.78,32.90±2.30,38.14±3.37,2.92±2.06
Turkic,28.68±11.84,35.02±2.51,42.93±3.83,4.19±3.15
Uralic,28.70±10.17,34.23±2.99,40.92±3.28,3.33±2.29
