language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,2.82±2.62,17.01±2.40,31.61±1.73,0.00±0.00
Austro-Asiatic,2.62±2.42,18.32±3.96,30.17±1.71,0.00±0.00
Austronesian,2.57±2.63,16.90±3.21,30.62±2.46,0.00±0.00
Indo-European (Germanic),2.00±1.84,16.12±2.56,30.17±3.02,0.00±0.00
Indo-European (Greek),3.03±3.29,18.18±3.70,31.13±1.71,0.00±0.00
Indo-European (Iranian),2.62±1.69,15.29±4.52,29.61±2.53,0.14±0.34
Indo-European (Romance),2.62±2.40,17.42±2.41,30.96±2.85,0.03±0.17
Sino-Tibetan,2.20±1.79,14.05±2.34,32.92±3.24,0.00±0.00
Slavic,2.13±2.19,17.56±2.91,29.41±1.74,0.00±0.00
Turkic,2.48±2.02,15.98±2.80,32.92±1.22,0.00±0.00
Uralic,2.30±2.31,17.03±3.56,31.86±2.09,0.00±0.00
