"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_3_Estonian.py:13:32:13:34""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_3_Estonian.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<scripta'.
This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_3_Estonian.py:13:38:13:40""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_3_Estonian.py:2:26:2:32""]] may run slow on strings starting with '<script>' and with many repetitions of '>a'.","/Assertion/Author/A_cwe116_0_3_Estonian.py","13","58","13","64"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_5_Greek.py:12:30:12:32""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_5_Greek.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.","/Assertion/Author/A_cwe116_0_5_Greek.py","12","49","12","55"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_7_Tagalog.py:16:40:16:42""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_7_Tagalog.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.","/Assertion/Author/A_cwe116_0_7_Tagalog.py","16","59","16","62"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/SonarSource/SS_cwe400_0_3_Tagalog.py:15:23:15:25""]] that depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_3_Tagalog.py:1:19:1:25""]] may run slow on strings with many repetitions of 'z'.","/Assertion/SonarSource/SS_cwe400_0_3_Tagalog.py","15","40","15","59"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/SonarSource/SS_cwe400_0_6_Tagalog.py:16:27:16:29""]] that depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_6_Tagalog.py:1:19:1:25""]] may run slow on strings with many repetitions of '0'.","/Assertion/SonarSource/SS_cwe400_0_6_Tagalog.py","17","28","17","51"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/CodeQL/codeql_cwe020_2_9_French.py:16:23:16:25""]] that depends on a [[""user-provided value""|""relative:///Assertion/CodeQL/codeql_cwe020_2_9_French.py:1:26:1:32""]] may run slow on strings with many repetitions of '0'.","/Assertion/CodeQL/codeql_cwe020_2_9_French.py","16","43","16","52"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/CodeQL/codeql_cwe022_1_7_Tagalog.py:21:19:21:20""]] that depends on a [[""user-provided value""|""relative:///Assertion/CodeQL/codeql_cwe022_1_7_Tagalog.py:1:26:1:32""]] may run slow on strings with many repetitions of 'a'.","/Assertion/CodeQL/codeql_cwe022_1_7_Tagalog.py","21","29","21","37"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_0_Greek.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_0_Greek.py:17:12:17:53""]].","/Assertion/SonarSource/SS_cwe400_0_0_Greek.py","17","22","17","26"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_1_Finnish.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_1_Finnish.py:18:8:18:29""]].","/Assertion/SonarSource/SS_cwe400_0_1_Finnish.py","18","18","18","22"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_1_German.py:1:19:1:25""]] and is executed by [[""re.match""|""relative:///Assertion/SonarSource/SS_cwe400_0_1_German.py:17:8:17:28""]].","/Assertion/SonarSource/SS_cwe400_0_1_German.py","17","17","17","21"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_2_Dutch.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_2_Dutch.py:18:8:18:29""]].","/Assertion/SonarSource/SS_cwe400_0_2_Dutch.py","18","18","18","22"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_2_English.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_2_English.py:18:8:18:29""]].","/Assertion/SonarSource/SS_cwe400_0_2_English.py","18","18","18","22"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_2_German.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_2_German.py:11:14:11:35""]].","/Assertion/SonarSource/SS_cwe400_0_2_German.py","11","24","11","28"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_3_Indonesian.py:1:19:1:25""]] and is executed by [[""re.findall""|""relative:///Assertion/SonarSource/SS_cwe400_0_3_Indonesian.py:20:9:20:31""]].","/Assertion/SonarSource/SS_cwe400_0_3_Indonesian.py","20","20","20","24"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_4_Portuguese.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_4_Portuguese.py:17:8:17:29""]].","/Assertion/SonarSource/SS_cwe400_0_4_Portuguese.py","17","18","17","22"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_4_Tagalog.py:2:26:2:32""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_4_Tagalog.py:12:8:12:29""]].","/Assertion/SonarSource/SS_cwe400_0_4_Tagalog.py","12","18","12","22"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_5_Afrikaans.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_5_Afrikaans.py:18:8:18:27""]].","/Assertion/SonarSource/SS_cwe400_0_5_Afrikaans.py","16","26","16","48"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///Assertion/SonarSource/SS_cwe400_0_5_Dutch.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///Assertion/SonarSource/SS_cwe400_0_5_Dutch.py:19:12:19:33""]].","/Assertion/SonarSource/SS_cwe400_0_5_Dutch.py","19","22","19","26"
