Model,Temp,Language,Total,Compilable_before,Compilable_after,Compilable_before (%),Compilable_after (%)
Qwen2.5,0.0,Afrikaans,1250,0,639,0.0,51.12
Qwen2.5,0.0,Arabic,1250,0,604,0.0,48.32
Qwen2.5,0.0,Bulgarian,1250,0,602,0.0,48.16
Qwen2.5,0.0,Chinese,1250,0,690,0.0,55.2
Qwen2.5,0.0,Dutch,1250,0,626,0.0,50.080000000000005
Qwen2.5,0.0,English,1250,0,607,0.0,48.559999999999995
Qwen2.5,0.0,Estonian,1250,0,629,0.0,50.32
Qwen2.5,0.0,Finnish,1250,0,615,0.0,49.2
Qwen2.5,0.0,French,1250,0,623,0.0,49.84
Qwen2.5,0.0,German,1250,0,639,0.0,51.12
Qwen2.5,0.0,Greek,1250,0,668,0.0,53.44
Qwen2.5,0.0,Hebrew,1250,0,622,0.0,49.76
Qwen2.5,0.0,Hungarian,1250,0,617,0.0,49.36
Qwen2.5,0.0,Indonesian,1250,0,648,0.0,51.839999999999996
Qwen2.5,0.0,Italian,1250,0,579,0.0,46.32
Qwen2.5,0.0,Malay,1250,0,637,0.0,50.96000000000001
Qwen2.5,0.0,Persian,1250,0,640,0.0,51.2
Qwen2.5,0.0,Portuguese,1250,0,629,0.0,50.32
Qwen2.5,0.0,Russian,1250,0,561,0.0,44.879999999999995
Qwen2.5,0.0,Spanish,1250,0,612,0.0,48.96
Qwen2.5,0.0,Tagalog,1250,0,647,0.0,51.76
Qwen2.5,0.0,Turkish,1250,0,596,0.0,47.68
Qwen2.5,0.0,Vietnamese,1250,0,585,0.0,46.800000000000004
Qwen2.5,0.2,Afrikaans,1250,0,648,0.0,51.839999999999996
Qwen2.5,0.2,Arabic,1250,0,612,0.0,48.96
Qwen2.5,0.2,Bulgarian,1250,0,628,0.0,50.239999999999995
Qwen2.5,0.2,Chinese,1250,0,668,0.0,53.44
Qwen2.5,0.2,Dutch,1250,0,643,0.0,51.44
Qwen2.5,0.2,English,1250,0,622,0.0,49.76
Qwen2.5,0.2,Estonian,1250,0,633,0.0,50.63999999999999
Qwen2.5,0.2,Finnish,1250,0,642,0.0,51.35999999999999
Qwen2.5,0.2,French,1250,0,613,0.0,49.04
Qwen2.5,0.2,German,1250,0,628,0.0,50.239999999999995
Qwen2.5,0.2,Greek,1250,0,645,0.0,51.6
Qwen2.5,0.2,Hebrew,1250,0,625,0.0,50.0
Qwen2.5,0.2,Hungarian,1250,0,631,0.0,50.480000000000004
Qwen2.5,0.2,Indonesian,1250,0,638,0.0,51.04
Qwen2.5,0.2,Italian,1250,0,591,0.0,47.28
Qwen2.5,0.2,Malay,1250,0,621,0.0,49.68
Qwen2.5,0.2,Persian,1250,0,607,0.0,48.559999999999995
Qwen2.5,0.2,Portuguese,1250,0,609,0.0,48.72
Qwen2.5,0.2,Russian,1250,0,590,0.0,47.199999999999996
Qwen2.5,0.2,Spanish,1250,0,644,0.0,51.519999999999996
Qwen2.5,0.2,Tagalog,1250,0,638,0.0,51.04
Qwen2.5,0.2,Turkish,1250,0,590,0.0,47.199999999999996
Qwen2.5,0.2,Vietnamese,1250,0,587,0.0,46.96
Qwen2.5,0.4,Afrikaans,1250,0,627,0.0,50.160000000000004
Qwen2.5,0.4,Arabic,1250,0,629,0.0,50.32
Qwen2.5,0.4,Bulgarian,1250,0,600,0.0,48.0
Qwen2.5,0.4,Chinese,1250,0,616,0.0,49.28
Qwen2.5,0.4,Dutch,1250,0,597,0.0,47.760000000000005
Qwen2.5,0.4,English,1250,0,598,0.0,47.839999999999996
Qwen2.5,0.4,Estonian,1250,0,613,0.0,49.04
Qwen2.5,0.4,Finnish,1250,0,623,0.0,49.84
Qwen2.5,0.4,French,1250,0,581,0.0,46.48
Qwen2.5,0.4,German,1250,0,593,0.0,47.44
Qwen2.5,0.4,Greek,1250,0,634,0.0,50.72
Qwen2.5,0.4,Hebrew,1250,0,601,0.0,48.08
Qwen2.5,0.4,Hungarian,1250,0,614,0.0,49.120000000000005
Qwen2.5,0.4,Indonesian,1250,0,608,0.0,48.64
Qwen2.5,0.4,Italian,1250,0,632,0.0,50.56
Qwen2.5,0.4,Malay,1250,0,631,0.0,50.480000000000004
Qwen2.5,0.4,Persian,1250,0,633,0.0,50.63999999999999
Qwen2.5,0.4,Portuguese,1250,0,607,0.0,48.559999999999995
Qwen2.5,0.4,Russian,1250,0,583,0.0,46.64
Qwen2.5,0.4,Spanish,1250,0,635,0.0,50.8
Qwen2.5,0.4,Tagalog,1250,0,633,0.0,50.63999999999999
Qwen2.5,0.4,Turkish,1250,0,600,0.0,48.0
Qwen2.5,0.4,Vietnamese,1250,0,599,0.0,47.92
Qwen2.5,0.6,Afrikaans,1250,0,600,0.0,48.0
Qwen2.5,0.6,Arabic,1250,1,580,0.08,46.400000000000006
Qwen2.5,0.6,Bulgarian,1250,0,563,0.0,45.04
Qwen2.5,0.6,Chinese,1250,0,564,0.0,45.12
Qwen2.5,0.6,Dutch,1250,0,547,0.0,43.76
Qwen2.5,0.6,English,1250,0,560,0.0,44.800000000000004
Qwen2.5,0.6,Estonian,1250,0,565,0.0,45.2
Qwen2.5,0.6,Finnish,1250,0,556,0.0,44.48
Qwen2.5,0.6,French,1250,0,555,0.0,44.4
Qwen2.5,0.6,German,1250,0,565,0.0,45.2
Qwen2.5,0.6,Greek,1250,0,597,0.0,47.760000000000005
Qwen2.5,0.6,Hebrew,1250,0,584,0.0,46.72
Qwen2.5,0.6,Hungarian,1250,0,548,0.0,43.84
Qwen2.5,0.6,Indonesian,1250,0,592,0.0,47.36
Qwen2.5,0.6,Italian,1250,0,547,0.0,43.76
Qwen2.5,0.6,Malay,1250,0,598,0.0,47.839999999999996
Qwen2.5,0.6,Persian,1250,0,576,0.0,46.08
Qwen2.5,0.6,Portuguese,1250,0,565,0.0,45.2
Qwen2.5,0.6,Russian,1250,0,557,0.0,44.56
Qwen2.5,0.6,Spanish,1250,0,559,0.0,44.72
Qwen2.5,0.6,Tagalog,1250,1,595,0.08,47.599999999999994
Qwen2.5,0.6,Turkish,1250,0,566,0.0,45.28
Qwen2.5,0.6,Vietnamese,1250,0,534,0.0,42.72
Qwen2.5,0.8,Afrikaans,1250,1,528,0.08,42.24
Qwen2.5,0.8,Arabic,1250,3,524,0.24,41.92
Qwen2.5,0.8,Bulgarian,1250,0,507,0.0,40.56
Qwen2.5,0.8,Chinese,1250,0,511,0.0,40.88
Qwen2.5,0.8,Dutch,1250,0,499,0.0,39.92
Qwen2.5,0.8,English,1250,1,512,0.08,40.96
Qwen2.5,0.8,Estonian,1250,0,529,0.0,42.32
Qwen2.5,0.8,Finnish,1250,1,515,0.08,41.199999999999996
Qwen2.5,0.8,French,1250,1,526,0.08,42.08
Qwen2.5,0.8,German,1250,1,521,0.08,41.68
Qwen2.5,0.8,Greek,1250,0,552,0.0,44.16
Qwen2.5,0.8,Hebrew,1250,0,531,0.0,42.480000000000004
Qwen2.5,0.8,Hungarian,1250,1,501,0.08,40.08
Qwen2.5,0.8,Indonesian,1250,1,525,0.08,42.0
Qwen2.5,0.8,Italian,1250,3,513,0.24,41.04
Qwen2.5,0.8,Malay,1250,0,530,0.0,42.4
Qwen2.5,0.8,Persian,1250,2,527,0.16,42.16
Qwen2.5,0.8,Portuguese,1250,2,545,0.16,43.6
Qwen2.5,0.8,Russian,1250,0,516,0.0,41.28
Qwen2.5,0.8,Spanish,1250,1,522,0.08,41.760000000000005
Qwen2.5,0.8,Tagalog,1250,2,567,0.16,45.36
Qwen2.5,0.8,Turkish,1250,2,510,0.16,40.8
Qwen2.5,0.8,Vietnamese,1250,0,528,0.0,42.24
Qwen2.5,1.0,Afrikaans,1250,0,466,0.0,37.28
Qwen2.5,1.0,Arabic,1250,3,463,0.24,37.04
Qwen2.5,1.0,Bulgarian,1250,6,446,0.48,35.68
Qwen2.5,1.0,Chinese,1250,0,417,0.0,33.36
Qwen2.5,1.0,Dutch,1250,1,462,0.08,36.96
Qwen2.5,1.0,English,1250,1,450,0.08,36.0
Qwen2.5,1.0,Estonian,1250,1,455,0.08,36.4
Qwen2.5,1.0,Finnish,1250,5,462,0.4,36.96
Qwen2.5,1.0,French,1250,2,425,0.16,34.0
Qwen2.5,1.0,German,1250,4,443,0.32,35.44
Qwen2.5,1.0,Greek,1250,4,417,0.32,33.36
Qwen2.5,1.0,Hebrew,1250,2,457,0.16,36.559999999999995
Qwen2.5,1.0,Hungarian,1250,2,442,0.16,35.36
