language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,54.55±0.00,50.00±0.00,21.49±0.00
Afro-Asiatic,0.2,2.75±0.00,55.13±0.00,50.60±0.00,34.31±0.00
Afro-Asiatic,0.4,10.14±0.00,56.15±0.00,51.93±0.00,39.39±0.00
Afro-Asiatic,0.6,11.08±0.00,56.37±0.00,53.14±0.00,37.05±0.00
Afro-Asiatic,0.8,16.57±0.00,55.68±0.00,54.00±0.00,27.89±0.00
Afro-Asiatic,1.0,15.81±0.00,55.66±0.00,55.31±0.00,25.76±0.00
Austro-Asiatic,0.0,0.00±0.00,55.54±0.00,51.45±0.00,30.68±0.00
Austro-Asiatic,0.2,5.90±0.00,55.66±0.00,52.21±0.00,41.06±0.00
Austro-Asiatic,0.4,11.05±0.00,55.26±0.00,52.74±0.00,44.52±0.00
Austro-Asiatic,0.6,14.84±0.00,55.68±0.00,52.62±0.00,41.42±0.00
Austro-Asiatic,0.8,19.04±0.00,56.57±0.00,52.83±0.00,31.93±0.00
Austro-Asiatic,1.0,17.83±0.00,57.51±0.00,54.37±0.00,33.20±0.00
Austronesian,0.0,3.01±0.92,50.84±0.91,43.63±3.16,25.85±5.55
Austronesian,0.2,5.83±0.95,51.23±0.66,45.54±3.19,39.19±4.35
Austronesian,0.4,9.90±1.38,52.27±1.26,46.56±2.57,42.03±2.96
Austronesian,0.6,13.59±3.27,52.52±1.66,48.60±2.80,43.41±3.81
Austronesian,0.8,17.86±2.61,54.10±1.18,50.08±2.16,34.05±1.43
Austronesian,1.0,19.75±2.34,53.27±2.19,49.72±2.26,30.00±3.58
Indo-European (Germanic),0.0,2.82±2.98,50.68±1.79,46.50±4.63,21.65±1.78
Indo-European (Germanic),0.2,7.48±1.39,51.58±1.38,47.20±4.67,37.78±1.46
Indo-European (Germanic),0.4,15.32±2.78,52.46±1.84,48.76±3.64,43.10±0.83
Indo-European (Germanic),0.6,15.78±1.78,52.81±1.19,49.60±3.82,42.42±1.22
Indo-European (Germanic),0.8,17.87±2.37,53.17±1.21,50.14±3.59,28.59±1.43
Indo-European (Germanic),1.0,19.79±1.72,53.62±1.46,49.90±4.70,31.33±1.67
Indo-European (Greek),0.0,1.10±0.00,54.95±0.00,42.83±0.00,22.81±0.00
Indo-European (Greek),0.2,6.90±0.00,55.63±0.00,45.51±0.00,34.28±0.00
Indo-European (Greek),0.4,7.48±0.00,54.83±0.00,45.24±0.00,41.21±0.00
Indo-European (Greek),0.6,12.16±0.00,55.89±0.00,48.66±0.00,42.09±0.00
Indo-European (Greek),0.8,16.27±0.00,56.61±0.00,49.49±0.00,27.64±0.00
Indo-European (Greek),1.0,17.25±0.00,55.77±0.00,48.90±0.00,29.53±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,2.78±1.45,51.23±2.96,43.74±1.73,26.18±3.17
Indo-European (Romance),0.2,7.52±1.95,52.27±1.42,44.03±1.97,38.85±0.76
Indo-European (Romance),0.4,12.14±1.28,52.65±0.75,46.08±1.44,42.15±1.59
Indo-European (Romance),0.6,19.65±2.34,53.70±1.39,47.29±1.07,41.19±2.69
Indo-European (Romance),0.8,19.37±3.03,54.37±0.82,49.01±1.81,31.44±2.36
Indo-European (Romance),1.0,19.47±1.98,54.16±0.34,48.56±2.00,32.84±1.57
Sino-Tibetan,0.0,1.11±0.00,45.56±0.00,45.56±0.00,26.57±0.00
Sino-Tibetan,0.2,2.53±0.00,46.25±0.00,48.94±0.00,35.66±0.00
Sino-Tibetan,0.4,11.94±0.00,47.54±0.00,47.23±0.00,41.22±0.00
Sino-Tibetan,0.6,13.89±0.00,50.34±0.00,47.50±0.00,38.52±0.00
Sino-Tibetan,0.8,18.12±0.00,50.14±0.00,48.36±0.00,23.99±0.00
Sino-Tibetan,1.0,18.77±0.00,51.37±0.00,49.95±0.00,33.17±0.00
Slavic,0.0,1.10±1.55,51.70±0.07,38.10±3.51,26.11±0.36
Slavic,0.2,5.54±0.76,52.50±0.18,39.20±5.28,39.99±1.01
Slavic,0.4,11.76±0.56,53.16±0.36,42.53±3.85,41.84±1.62
Slavic,0.6,13.24±1.31,53.41±0.28,43.20±2.04,41.86±2.07
Slavic,0.8,19.06±0.78,54.33±0.65,43.51±2.56,27.64±0.91
Slavic,1.0,21.88±2.43,54.82±0.05,44.02±3.92,26.43±2.84
Turkic,0.0,3.19±0.00,53.19±0.00,44.06±0.00,23.40±0.00
Turkic,0.2,4.61±0.00,55.19±0.00,45.14±0.00,37.11±0.00
Turkic,0.4,10.28±0.00,54.81±0.00,45.04±0.00,46.68±0.00
Turkic,0.6,14.66±0.00,55.97±0.00,49.26±0.00,41.79±0.00
Turkic,0.8,18.14±0.00,54.90±0.00,49.04±0.00,28.43±0.00
Turkic,1.0,17.95±0.00,55.59±0.00,48.79±0.00,33.46±0.00
Uralic,0.0,0.73±0.64,53.98±1.73,47.83±3.64,24.51±5.37
Uralic,0.2,7.10±0.20,54.45±2.19,49.69±4.78,38.44±2.35
Uralic,0.4,12.51±2.72,54.67±1.89,50.16±3.38,43.52±1.91
Uralic,0.6,11.68±3.79,55.00±1.67,50.52±3.96,43.63±3.74
Uralic,0.8,18.02±2.00,55.48±1.69,51.45±3.81,33.38±2.85
Uralic,1.0,19.07±3.30,55.59±2.28,51.94±3.13,30.50±4.46
