language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,10.54±5.18,15.99±1.12,8.35±1.14,0.36±0.27
Austro-Asiatic,13.05±0.59,15.30±0.77,8.08±0.60,0.89±0.23
Austronesian,11.82±0.72,17.42±0.79,9.13±1.26,0.50±0.43
Indo-European (Germanic),11.64±2.68,16.66±0.75,8.93±1.70,0.81±0.57
Indo-European (Greek),12.35±0.77,15.74±0.25,7.97±0.97,0.52±0.17
Indo-European (Iranian),11.37±5.68,16.90±0.15,7.03±0.91,0.15±0.09
Indo-European (Romance),12.15±1.45,16.87±1.12,8.75±1.56,0.83±0.62
Sino-Tibetan,10.57±0.26,16.26±0.50,9.73±1.33,0.27±0.22
Slavic,11.45±1.69,15.36±1.57,8.37±1.32,0.60±0.34
Turkic,11.53±5.65,18.28±0.59,7.42±1.12,0.83±0.33
Uralic,11.15±3.00,16.44±1.74,7.43±1.11,0.46±0.30
