language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,36.40±3.39,42.33±1.43,32.27±5.49,6.13±3.57
Austro-Asiatic,38.13±4.97,45.47±0.79,29.33±4.34,7.47±2.36
Austronesian,37.51±2.48,44.89±2.48,27.24±3.96,6.53±2.73
Indo-European (Germanic),37.87±2.45,43.57±1.97,27.10±5.88,7.83±2.30
Indo-European (Greek),34.53±2.84,41.73±1.06,28.13±2.70,6.80±2.98
Indo-European (Iranian),36.00±1.60,40.27±2.51,30.27±4.03,7.07±3.93
Indo-European (Romance),36.47±2.97,44.37±1.49,29.70±5.17,7.27±2.46
Sino-Tibetan,36.53±2.66,42.80±1.50,25.73±3.77,6.13±3.30
Slavic,36.53±3.91,40.13±1.95,29.13±3.50,7.73±2.06
Turkic,35.87±2.11,42.27±1.28,28.40±3.27,7.87±1.47
Uralic,35.42±3.77,42.89±2.65,25.64±3.89,6.67±2.34
