language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,19.36±1.14,31.22±1.15,15.51±3.30,0.94±0.84
Austro-Asiatic,19.67±1.09,29.93±1.11,15.45±3.32,1.25±0.90
Austronesian,18.49±1.05,31.45±1.15,16.19±4.23,1.58±1.16
Indo-European (Germanic),19.76±4.37,31.98±5.14,16.45±4.05,1.77±1.39
Indo-European (Greek),16.56±0.90,31.28±0.48,15.10±4.71,1.28±1.10
Indo-European (Iranian),19.85±0.62,31.32±1.07,16.25±4.79,2.15±1.82
Indo-European (Romance),17.64±1.22,31.67±1.41,16.60±3.70,1.60±1.31
Sino-Tibetan,16.69±1.77,35.95±1.11,21.33±6.33,1.40±0.97
Slavic,18.05±0.77,31.08±1.68,17.86±4.43,2.16±1.56
Turkic,18.27±1.32,29.93±0.53,17.17±5.20,1.27±0.84
Uralic,19.18±1.05,30.48±1.08,13.96±4.03,1.43±1.06
