language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,17.28±1.31,29.77±1.30,16.84±3.82,0.74±0.63
Austro-Asiatic,16.93±1.05,28.48±0.74,16.55±3.48,0.81±0.57
Austronesian,16.51±0.64,29.52±0.97,16.66±4.53,0.68±0.39
Indo-European (Germanic),17.54±3.25,30.37±4.68,16.75±4.14,0.81±0.32
Indo-European (Greek),15.02±0.86,29.37±0.30,14.49±3.97,1.32±0.48
Indo-European (Iranian),17.33±0.60,28.31±1.02,17.09±4.89,1.28±0.82
Indo-European (Romance),15.18±1.09,30.10±1.06,17.65±4.10,0.86±0.48
Sino-Tibetan,15.48±1.09,33.85±1.31,21.43±6.04,0.83±0.36
Slavic,16.18±0.73,29.54±1.35,17.93±4.14,1.27±0.62
Turkic,16.43±1.15,28.51±0.63,17.29±4.90,0.63±0.44
Uralic,16.93±0.83,28.12±1.36,14.56±4.01,0.76±0.50
