"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Tainted/Author/A_cwe094_0_108_Persian.py:13:43:13:45""]] that depends on a [[""user-provided value""|""relative:///Tainted/Author/A_cwe094_0_108_Persian.py:1:26:1:32""]] may run slow on strings with many repetitions of 'a'.","/Tainted/Author/A_cwe094_0_108_Persian.py","13","60","13","66"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_0_English.py:10:35:10:37""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_0_English.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.
This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_0_English.py:10:39:10:41""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_0_English.py:2:26:2:32""]] may run slow on strings starting with '<script>' and with many repetitions of '>'.","/Assertion/Author/A_cwe116_0_0_English.py","12","55","12","61"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_100_Spanish.py:9:40:9:42""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_100_Spanish.py:2:26:2:32""]] may run slow on strings starting with '<script>' and with many repetitions of '<script>'.","/Assertion/Author/A_cwe116_0_100_Spanish.py","9","59","9","69"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_102_Spanish.py:9:38:9:40""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_102_Spanish.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.
This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_102_Spanish.py:9:42:9:44""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_102_Spanish.py:2:26:2:32""]] may run slow on strings starting with '<script>' and with many repetitions of '>'.","/Assertion/Author/A_cwe116_0_102_Spanish.py","9","61","9","83"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_106_Spanish.py:12:36:12:38""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_106_Spanish.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.
This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_106_Spanish.py:12:40:12:42""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_106_Spanish.py:2:26:2:32""]] may run slow on strings starting with '<script>' and with many repetitions of '>'.","/Assertion/Author/A_cwe116_0_106_Spanish.py","12","59","12","65"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_109_Spanish.py:15:35:15:36""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_109_Spanish.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.","/Assertion/Author/A_cwe116_0_109_Spanish.py","15","53","15","59"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_110_Portuguese.py:10:40:10:42""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_110_Portuguese.py:1:26:1:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.
This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_110_Portuguese.py:10:44:10:46""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_110_Portuguese.py:1:26:1:32""]] may run slow on strings starting with '<script>' and with many repetitions of '>'.","/Assertion/Author/A_cwe116_0_110_Portuguese.py","10","63","10","69"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_111_Portuguese.py:12:43:12:45""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_111_Portuguese.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.","/Assertion/Author/A_cwe116_0_111_Portuguese.py","12","62","12","68"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_114_Portuguese.py:9:39:9:41""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_114_Portuguese.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.
This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_114_Portuguese.py:9:43:9:45""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_114_Portuguese.py:2:26:2:32""]] may run slow on strings starting with '<script>' and with many repetitions of '>'.","/Assertion/Author/A_cwe116_0_114_Portuguese.py","9","62","9","68"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_115_Portuguese.py:9:41:9:45""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_115_Portuguese.py:2:26:2:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.","/Assertion/Author/A_cwe116_0_115_Portuguese.py","9","68","9","74"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///Assertion/Author/A_cwe116_0_116_Portuguese.py:9:51:9:53""]] that depends on a [[""user-provided value""|""relative:///Assertion/Author/A_cwe116_0_116_Portuguese.py:1:26:1:32""]] may run slow on strings starting with '<script' and with many repetitions of '<script'.","/Assertion/Author/A_cwe116_0_116_Portuguese.py","9","70","9","84"
